,code,name
0,ACAD 174,ACAD 174 Innovators Forum
1,ACAD 176,ACAD 176 Rapid Visualization
2,ACAD 177,ACAD 177 Digital Toolbox for Design
3,ACAD 178,ACAD 178 Digital Toolbox: Motion Graphics
4,ACAD 179,ACAD 179 Digital Toolbox: Excel for Business Management
5,ACAD 180,ACAD 180 Digital Toolbox: Sound and Audio
6,ACAD 181g,ACAD 181g Disruptive Innovation
7,ACAD 182,ACAD 182 Case Studies in Innovation
8,ACAD 187,ACAD 187 Digital Toolbox: 3D Design
9,ACAD 188,ACAD 188 Digital Toolbox: Modeling Products I
10,ACAD 189,ACAD 189 Digital Toolbox: Modeling Products II
11,ACAD 200,ACAD 200 Advanced Sound and Audio
12,ACAD 202,ACAD 202 Modeling Physical Systems
13,ACAD 203,ACAD 203 Statics
14,ACAD 204,ACAD 204 Strength of Materials
15,ACAD 206,ACAD 206 Communication and Culture
16,ACAD 207,ACAD 207 Multimedia for Designers and Entrepreneurs I
17,ACAD 240,ACAD 240 Materials: Denim to Nanotubes
18,ACAD 245,ACAD 245 Product Design I
19,ACAD 255,ACAD 255 Advancing Journalism with Human-Centered Design
20,ACAD 256,ACAD 256 Designing for News and Information
21,ACAD 260,ACAD 260 Introduction to Healthcare Innovation
22,ACAD 261,ACAD 261 Human Health and Technology
23,ACAD 275,ACAD 275 Dev I
24,ACAD 276,ACAD 276 Dev II
25,ACAD 277,ACAD 277 Dev III: Advanced Topics
26,ACAD 280,ACAD 280 Designing for Digital Experiences
27,ACAD 281,ACAD 281 Designing for Physical Experiences
28,ACAD 301,ACAD 301 Understanding Play
29,ACAD 302,ACAD 302 The Hacker Imagination: from Ancient Greece to Cupertino
30,ACAD 306,"ACAD 306 Innovation, Entertainment, and the Arts"
31,ACAD 307,ACAD 307 Multimedia for Designers and Entrepreneurs II
32,ACAD 308,ACAD 308 Computer-Aided Design for Bio-Mechanical Systems
33,ACAD 309g,ACAD 309g Dreams & Madness: The Art of Japan's Golden Age of Animation
34,ACAD 310,ACAD 310 Launching Disruptive Ventures
35,ACAD 311,ACAD 311 Design for User Experience
36,ACAD 312,ACAD 312 Materials Behavior and Processing
37,ACAD 315x,ACAD 315x Basics of Project and Operations Management for Non-Majors
38,ACAD 324g,ACAD 324g The Practice of Design: Ideation to Innovation
39,ACAD 330,ACAD 330 3D Design: Objects and Space
40,ACAD 331x,ACAD 331x Influence and Collaboration
41,ACAD 341,ACAD 341 Android App Development
42,ACAD 342,ACAD 342 iOS App Development
43,ACAD 343,ACAD 343 Mobile Development for Content and Media
44,ACAD 344,ACAD 344 Advanced iOS App Development
45,ACAD 345,ACAD 345 Product Design II
46,ACAD 350,ACAD 350 International Experience
47,ACAD 351,ACAD 351 Technologies and Practices for Analytics
48,ACAD 352,ACAD 352 Digital Audio Recording and Processing
49,ACAD 354,ACAD 354 Synthesis and Sound Design
50,ACAD 356,ACAD 356 Audio and Media Integration
51,ACAD 360,ACAD 360 Design Strategy: Problem Solving for Organizations
52,ACAD 362,ACAD 362 Analytics for Health Innovators
53,ACAD 365,ACAD 365 Managing Data in C++
54,ACAD 366,ACAD 366 Designing Media and Communication Projects for Social Change
55,ACAD 375,ACAD 375 Business and Professional Communication
56,ACAD 376,ACAD 376 Discerning and Making I: Concept and Feasibility
57,ACAD 377,ACAD 377 Discerning and Making II: Creation and Implementation
58,ACAD 382,ACAD 382 Mobile Game Development
59,ACAD 385x,ACAD 385x Marketing of Creative Disruption and Innovation
60,ACAD 387x,ACAD 387x Cloud Architecture and Applications
61,ACAD 404,ACAD 404 Advanced Front-End Web Development
62,ACAD 405,ACAD 405 Advanced Back-End Web Development
63,ACAD 407,ACAD 407 Multimedia for Designers and Entrepreneurs III
64,ACAD 419,ACAD 419 Professional Internship
65,ACAD 425,ACAD 425 Web Application Security
66,ACAD 442,ACAD 442 Mobile App Project
67,ACAD 445,ACAD 445 Product Design III
68,ACAD 449,ACAD 449 Data Mining: Descriptive and Predictive
69,ACAD 460,ACAD 460 Web Application Project
70,ACAD 463,ACAD 463 Evidence Based Medicine for Health Innovators
71,ACAD 464,ACAD 464 Mining Health Data Through Machine Learning
72,ACAD 467,ACAD 467 Strategic Management of Innovation
73,ACAD 475a,ACAD 475a The Garage Experience
74,ACAD 475b,ACAD 475b The Garage Experience
75,ACAD 476,ACAD 476 Technologies for Interactive Marketing
76,ACAD 490,ACAD 490 Directed Research
77,ACAD 491,ACAD 491 Individual Instruction
78,ACAD 499,ACAD 499 Special Topics
79,ACAD 590,ACAD 590 Directed Research
80,ACAD 599,ACAD 599 Special Topics
81,ACCT 369,ACCT 369 Analytical Tools for Accountants
82,ACCT 370,ACCT 370 External Financial Reporting Issues
83,ACCT 371,ACCT 371 Introduction to Accounting Systems
84,ACCT 372,ACCT 372 Internal Reporting Issues
85,ACCT 373,ACCT 373 Introduction to Auditing and Assurance Services
86,ACCT 374,ACCT 374 Introduction to Tax Issues
87,ACCT 377,ACCT 377 Valuation for Financial Statement Purposes
88,ACCT 380x,ACCT 380x Introduction to Enterprise Risk Management
89,ACCT 385x,ACCT 385x Introduction to Risk Management and Insurance
90,ACCT 387,"ACCT 387 Risk Management in Entertainment, Sports and the Arts"
91,ACCT 390,ACCT 390 Special Problems
92,ACCT 410x,ACCT 410x Foundations of Accounting
93,ACCT 415x,ACCT 415x Intermediate Financial Accounting for Non-Accounting Majors
94,ACCT 416,ACCT 416 Financial Reporting and Analysis
95,ACCT 430,ACCT 430 Accounting Ethics
96,ACCT 442,ACCT 442 The Ethics of Financial and Political Accountability
97,ACCT 462,ACCT 462 Detecting Fraudulent Financial Reporting
98,ACCT 463,ACCT 463 Internal Audit
99,ACCT 470,ACCT 470 Advanced External Financial Reporting Issues
100,ACCT 471,ACCT 471 Accounting Information Systems
101,ACCT 472,ACCT 472 Managerial Accounting
102,ACCT 473,ACCT 473 Financial Statement Auditing
103,ACCT 474,ACCT 474 Tax Issues for Business
104,ACCT 475,ACCT 475 Systems Security and Audit
105,ACCT 476,ACCT 476 Performance Measurement Issues
106,ACCT 477,ACCT 477 Intermediate Fair Value Issues in Accounting
107,ACCT 478,ACCT 478 Accounting Systems Design
108,ACCT 479,ACCT 479 Accounting Systems Development
109,ACCT 490x,ACCT 490x Directed Research
110,ACCT 493,ACCT 493 Leventhal Honors Research Seminar
111,ACCT 494,ACCT 494 Marshall Honors Research and Thesis
112,ACCT 495,"ACCT 495 Accounting Internship: Work, Ethics and Communication"
113,ACCT 499,ACCT 499 Special Topics
114,ACCT 509,ACCT 509 Concepts of Financial and Management Accounting
115,ACCT 525x,ACCT 525x Intensive Accounting Principles and Practices
116,ACCT 526,ACCT 526 Global Accounting Experience
117,ACCT 527,ACCT 527 Financial Statement Analysis - Audit Perspective
118,ACCT 528,"ACCT 528 Fair Value Accounting: GAAP, IFRS and Emerging Issues"
119,ACCT 529,ACCT 529 Tax Data Analytics
